Theme,Sub Theme,Feature Name,Co-ordinates
Landmark,Railway Station,Southern Cross Railway Station,"(-37.8181633057171, 144.952944748845)"
Landmark,Theatre Live,Princess Theatre,"(-37.8107257091302, 144.9723265962)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,"(-37.8143993575938, 144.975952335785)"
Landmark,Public Buildings,State Library Victoria,"(-37.8099852201226, 144.964330322397)"
Leisure/Recreation,Theatre Live,Regent Theatre,"(-37.8160014744179, 144.967916735261)"
Landmark,Retail/Office,Treasury Reserve,"(-37.8129178793082, 144.975236759799)"
Landmark,Office,Old Treasury Building,"(-37.8132371662585, 144.974423610255)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Batman Park,"(-37.8218460949601, 144.956665812218)"
Landmark,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),"(-37.8194921618419, 144.983402879078)"
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Zoo,"(-37.7844449253712, 144.951371205938)"
Landmark,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,"(-37.8252455123297, 144.95435243249)"
Landmark,Function/Conference/Exhibition Centre,Melbourne Convention Centre,"(-37.8249040484653, 144.952288281644)"
Art Gallery/Museum/Library,Art Gallery/Museum,Polly Woodside,"(-37.8242574266145, 144.953478052064)"
Leisure/Recreation,Private Sports Club/Facility,Melbourne International Shooting Club,"(-37.8292844929826, 144.913415802464)"
Retail,Retail/Office/Carpark,Southgate Arts and Leisure Precinct,"(-37.8202245786597, 144.965989052839)"
Art Gallery/Museum/Library,Art Gallery/Museum,Australian Centre for Contemporary Art,"(-37.8266045432686, 144.967252924593)"
Leisure/Recreation,Theatre Live,Malthouse Theatre,"(-37.8271768001126, 144.966936821789)"
Place of Worship,Church,St Patricks Cathedral,"(-37.8101140950474, 144.975901529712)"
Art Gallery/Museum/Library,Art Gallery/Museum,Victorian Arts Centre,"(-37.8219947335768, 144.968837288153)"
Landmark,Office,Parliament House,"(-37.811246655376, 144.97372641185)"
Landmark,Public Buildings,Melbourne Town Hall,"(-37.8150754791411, 144.966542722283)"
Landmark,Office,Former Royal Mint,"(-37.8121838748712, 144.957055454136)"
Retail,Retail/Office,DFO South Wharf,"(-37.824887401234, 144.949794297819)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Queen Victoria Gardens,"(-37.8216381244891, 144.971049530478)"
Leisure/Recreation,Public Buildings,Sidney Myer Music Bowl,"(-37.8233471608733, 144.974686151365)"
Leisure/Recreation,Casino,Crown Entertainment Complex,"(-37.8235761092516, 144.957312880653)"
Art Gallery/Museum/Library,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,"(-37.8174831423197, 144.969899048343)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Federation Square,"(-37.8178516571684, 144.968963600783)"
Art Gallery/Museum/Library,Art Gallery/Museum,Thoroughbred Racing Gallery,"(-37.8188662730911, 144.9839700954)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),New Quay,"(-37.8152178789077, 144.941617889032)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Docklands Park,"(-37.8209956785618, 144.946781702342)"
Retail,Retail/Office,Waterfront City,"(-37.815056661803, 144.939136876334)"
Retail,Current Construction Site,Harbour Town,"(-37.8139256326845, 144.938123825625)"
Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,"(-37.8247252673963, 144.98380297866)"
Leisure/Recreation,Marina,New Quay Marina,"(-37.8152925454954, 144.942283726231)"
Leisure/Recreation,Function/Conference/Exhibition Centre,Central Pier,"(-37.8165177307702, 144.943475014215)"
Leisure/Recreation,Observation Tower/Wheel,Melbourne Star Observation Wheel,"(-37.8116163666726, 144.937588920436)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Point Park,"(-37.8233522700646, 144.942102276731)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Newmarket Reserve,"(-37.7878473341234, 144.922972125346)"
Art Gallery/Museum/Library,Art Gallery/Museum,Fox Classic Car Collection,"(-37.8213744301481, 144.948496661709)"
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Wonderland Park,"(-37.8116945351989, 144.936833674975)"
Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,"(-37.8220456119807, 144.978487173787)"
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,"(-37.8209085970021, 144.978735802793)"
Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,"(-37.8213252086842, 144.977591098955)"
Leisure/Recreation,Major Sports & Recreation Facility,Hisense Arena,"(-37.823110002667, 144.981834802535)"
Art Gallery/Museum/Library,Art Gallery/Museum,Melbourne Museum,"(-37.8035518129299, 144.971690718887)"
Leisure/Recreation,Cinema,IMAX Melbourne,"(-37.8034315561903, 144.970639929886)"
Leisure/Recreation,Theatre Live,MTC Theatre,"(-37.8242661832902, 144.968174400274)"
Leisure/Recreation,Public Buildings,Elisabeth Murdoch Hall,"(-37.8239733704282, 144.967450979234)"
Art Gallery/Museum/Library,Public Buildings,NGV International,"(-37.8230135000869, 144.969342535451)"
Leisure/Recreation,Theatre Live,Hamer Hall,"(-37.8199901009015, 144.967992144257)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Birrarung Marr,"(-37.81806108403, 144.97314667014)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Riverslide Skate Park,"(-37.8207887122448, 144.972951789291)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Alexandra Gardens,"(-37.8206051404251, 144.971796067365)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),North Melbourne Recreation Reserve,"(-37.7988345257153, 144.941452061463)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),J.J Holland Park,"(-37.7982358832177, 144.923837074813)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Park,"(-37.7906174256581, 144.953834240647)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Princes Park,"(-37.7870161727156, 144.961115214367)"
Art Gallery/Museum/Library,Art Gallery/Museum,National Sports Museum,"(-37.8189544909462, 144.984669809381)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Shrine of Rembrance Reserve,"(-37.8320733992876, 144.973628364465)"
Landmark,Public Buildings,Shrine of Remembrance,"(-37.8302080020387, 144.973441913623)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Botanic Gardens,"(-37.8306631583233, 144.980850432751)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Yarra Park,"(-37.820469374101, 144.986671109615)"
Leisure/Recreation,Indoor Recreation Facility,Icehouse,"(-37.8121881194053, 144.935684018873)"
Leisure/Recreation,Theatre Live,Athanaeum Theatre,"(-37.814954347831, 144.96732254212)"
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Riverside Park,"(-37.7948375315825, 144.915607065132)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Darling Square,"(-37.81299206932, 144.989062559512)"
Leisure/Recreation,Theatre Live,Carlton Courthouse Theatre,"(-37.7976589943217, 144.968750113566)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Flagstaff Gardens,"(-37.8111222889277, 144.954696055235)"
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Showgrounds,"(-37.7823097850883, 144.910822117306)"
Leisure/Recreation,Theatre Live,Her Majesty's Theatre,"(-37.8109975612842, 144.969520183129)"
Leisure/Recreation,Theatre Live,Comedy Theatre,"(-37.8102053945163, 144.97013311862)"
Leisure/Recreation,Theatre Live,La Mama Theatre,"(-37.7991304956733, 144.967669503083)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fawkner Park,"(-37.8413996708186, 144.981625667877)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fitzroy Gardens,"(-37.8129616331579, 144.980455714669)"
Art Gallery/Museum/Library,Art Gallery/Museum,Sinclair's Cottage,"(-37.8145407488014, 144.980554992725)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Enterprize Park,"(-37.820210269629, 144.959276859602)"
Art Gallery/Museum/Library,Art Gallery/Museum,Victoria Police Museum,"(-37.8222182774409, 144.954039975197)"
Art Gallery/Museum/Library,Art Gallery/Museum,Immigration Museum,"(-37.8191798798062, 144.960426777129)"
Place of Worship,Church,St Pauls Cathedral,"(-37.8169549012399, 144.967681647402)"
Leisure/Recreation,Theatre Live,Forum Theatre,"(-37.816485409696, 144.969386556998)"
Landmark,Railway Station,Flinders Street Railway Station,"(-37.8179063007545, 144.967064817875)"
Retail,Store Yard,Melbourne Wholesale Fish Market,"(-37.8083471006041, 144.930613255612)"
Retail,Retail/Office/Carpark,"Melbourne Wholesale Fruit, Vegetable & Flower Market","(-37.80687252157, 144.923287444259)"
Art Gallery/Museum/Library,Art Gallery/Museum,Fire Services Museum Victoria,"(-37.8085761281612, 144.975373745366)"
Art Gallery/Museum/Library,Art Gallery/Museum,The Ian Potter Museum Of Art,"(-37.7973939595503, 144.964156669702)"
Landmark,Tertiary (University),University of Melbourne,"(-37.7982892284927, 144.96099520158)"
Retail,Retail/Office/Carpark,Melbourne Central,"(-37.8105371797142, 144.962749729496)"
Retail,Retail/Office/Residential/Carpark,QV Village,"(-37.8106891897454, 144.965714574014)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Argyle Square,"(-37.8031480577285, 144.965761295089)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Piazza Italia,"(-37.8025164192523, 144.965863092947)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Macarthur Square,"(-37.7983318676737, 144.971514146104)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Murchinson Square,"(-37.8002735025371, 144.973059252203)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parliament Reserve,"(-37.809852620638, 144.973462202839)"
Leisure/Recreation,Indoor Recreation Facility,Carlton Baths,"(-37.7934377042609, 144.971696548624)"
Leisure/Recreation,Major Sports & Recreation Facility,City Baths,"(-37.8071585350561, 144.963189789721)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Westgate Park,"(-37.8314918578874, 144.908824792698)"
Art Gallery/Museum/Library,Art Gallery/Museum,Cooks' Cottage,"(-37.8144604899837, 144.979471339826)"
Leisure/Recreation,Aquarium,Melbourne Aquarium,"(-37.8209627824685, 144.958425696055)"
Leisure/Recreation,Major Sports & Recreation Facility,Westpac Centre,"(-37.8242456858593, 144.979720306309)"
Art Gallery/Museum/Library,Art Gallery/Museum,Royal Exhibition Building,"(-37.80460262432, 144.971521914952)"
Leisure/Recreation,Major Sports & Recreation Facility,Etihad Stadium,"(-37.8161760471742, 144.947496254547)"
Leisure/Recreation,Observation Tower/Wheel,Eureka Skydeck 88,"(-37.8216187583314, 144.964622218598)"
Landmark,Informal Outdoor Facility (Park/Garden/Reserve),Sandridge Rail Bridge,"(-37.8201763042794, 144.96298113724)"
Visitor Centre,Visitor Centre,Melbourne Visitor Centre,"(-37.8177352402006, 144.967937138226)"
Art Gallery/Museum/Library,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),"(-37.8176107327202, 144.969070431323)"
Landmark,Bridge,Webb Bridge,"(-37.8232052384507, 144.947291011905)"
Retail,Department Store,Myer,"(-37.8135911985281, 144.963855087868)"
Retail,Department Store,David Jones,"(-37.8133127260638, 144.964373486798)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Lincoln Square,"(-37.8027919689732, 144.962760852233)"
Landmark,Dwelling (House),Bishopscourt,"(-37.8132921649416, 144.98350690799)"
Art Gallery/Museum/Library,Art Gallery/Museum,The Museum Of Australian Chinese History,"(-37.8107686127655, 144.96923385414)"
Landmark,Retail/Office/Carpark,ANZ 'Gothic' Bank,"(-37.8161580666029, 144.961673719242)"
